Date,Cant
2006-01-01,100.0
2006-02-01,99.4291
2006-03-01,99.9526
2006-04-01,100.3185
2006-05-01,100.2101
2006-06-01,101.7262
2006-07-01,100.9317
2006-08-01,100.6113
2006-09-01,99.833
2006-10-01,98.7393
2006-11-01,98.0229
2006-12-01,97.2493
2007-01-01,97.4409
2007-02-01,97.2986
2007-03-01,97.594
2007-04-01,96.7327
2007-05-01,95.8034
2007-06-01,95.3884
2007-07-01,94.3351
2007-08-01,94.8982
2007-09-01,94.4437
2007-10-01,92.7892
2007-11-01,92.6021
2007-12-01,92.1466
2008-01-01,91.5122
2008-02-01,89.9332
2008-03-01,89.1863
2008-04-01,88.0826
2008-05-01,88.4096
2008-06-01,88.2379
2008-07-01,87.8234
2008-08-01,88.2441
2008-09-01,91.0957
2008-10-01,97.0736
2008-11-01,97.4924
2008-12-01,97.4188
2009-01-01,98.3122
2009-02-01,101.24
2009-03-01,101.117
2009-04-01,97.4896
2009-05-01,95.5491
2009-06-01,95.8356
2009-07-01,95.5416
2009-08-01,94.5593
2009-09-01,94.6678
2009-10-01,93.4714
2009-11-01,93.0953
2009-12-01,92.5549
2010-01-01,91.7988
2010-02-01,92.0922
2010-03-01,90.6447
2010-04-01,89.3059
2010-05-01,90.7269
2010-06-01,90.9469
2010-07-01,90.5252
2010-08-01,89.8081
2010-09-01,88.9488
2010-10-01,87.0673
2010-11-01,86.6872
2010-12-01,86.848
2011-01-01,85.6618
2011-02-01,85.3974
2011-03-01,85.2066
2011-04-01,83.8052
2011-05-01,83.6526
2011-06-01,83.3655
2011-07-01,82.6113
2011-08-01,83.7848
2011-09-01,86.5696
2011-10-01,87.4597
2011-11-01,87.8759
2011-12-01,88.2198
2012-01-01,86.7897
2012-02-01,85.1836
2012-03-01,85.3201
2012-04-01,85.9869
2012-05-01,87.4168
2012-06-01,88.4005
2012-07-01,87.1589
2012-08-01,86.7738
2012-09-01,85.9678
2012-10-01,85.4113
2012-11-01,85.3691
2012-12-01,84.5563
2013-01-01,83.8819
2013-02-01,84.1341
2013-03-01,83.524
2013-04-01,82.251
2013-05-01,82.3275
2013-06-01,84.301
2013-07-01,84.2472
2013-08-01,84.9296
2013-09-01,84.593
2013-10-01,83.6064
2013-11-01,83.9895
2013-12-01,84.12
2014-01-01,84.7073
2014-02-01,85.126
2014-03-01,85.0404
2014-04-01,84.5257
2014-05-01,83.9344
2014-06-01,83.9526
2014-07-01,83.5813
2014-08-01,83.8345
2014-09-01,84.2263
2014-10-01,84.9657
2014-11-01,85.6845
2014-12-01,87.8255
2015-01-01,87.973
2015-02-01,88.8335
2015-03-01,89.882
2015-04-01,88.9642
2015-05-01,89.208
2015-06-01,90.0106
2015-07-01,91.2648
2015-08-01,93.9374
2015-09-01,95.2025
2015-10-01,93.9438
2015-11-01,94.2949
2015-12-01,95.5175
2016-01-01,98.2748
2016-02-01,97.9624
2016-03-01,95.6367
2016-04-01,94.6818
2016-05-01,96.2522
2016-06-01,97.0674
2016-07-01,96.7574
2016-08-01,96.1387
2016-09-01,97.3542
2016-10-01,97.3289
2016-11-01,99.9443
2016-12-01,101.376
2017-01-01,101.7066
2017-02-01,99.7533
2017-03-01,97.9664
2017-04-01,96.7788
2017-05-01,96.4582
2017-06-01,95.2895
2017-07-01,94.5128
2017-08-01,93.9024
2017-09-01,93.6632
2017-10-01,95.2544
2017-11-01,95.161
2017-12-01,95.0266
2018-01-01,93.467
2018-02-01,92.834
2018-03-01,92.7337
2018-04-01,92.6947
2018-05-01,95.6733
2018-06-01,97.3724
2018-07-01,97.2159
2018-08-01,97.8459
2018-09-01,98.6076
2018-10-01,99.0926
2018-11-01,100.2489
2018-12-01,99.805
2019-01-01,97.709
2019-02-01,97.4467
2019-03-01,97.5459
2019-04-01,97.2636
2019-05-01,98.3768
2019-06-01,98.2135
2019-07-01,97.5067
2019-08-01,100.1978
2019-09-01,100.0192
2019-10-01,99.2844
2019-11-01,98.7925
2019-12-01,98.1701
2020-01-01,97.0805
2020-02-01,98.0479
2020-03-01,103.9679
2020-04-01,106.5542
2020-05-01,105.6464
2020-06-01,103.2744
2020-07-01,103.1388
2020-08-01,102.6457
2020-09-01,101.4219
2020-10-01,100.4035
2020-11-01,98.6218
2020-12-01,97.0321
2021-01-01,96.5834
2021-02-01,97.1377
2021-03-01,98.5379
2021-04-01,98.029
2021-05-01,97.5433
2021-06-01,97.9575
2021-07-01,98.8616
2021-08-01,99.2779
2021-09-01,99.2848
2021-10-01,100.2341
2021-11-01,100.8683
2021-12-01,101.6676
2022-01-01,101.3405
2022-02-01,101.1897
2022-03-01,102.0041
2022-04-01,101.3982
2022-05-01,103.54
2022-06-01,104.1893
2022-07-01,105.6334
2022-08-01,105.1872
2022-09-01,107.2111
2022-10-01,108.9651
2022-11-01,107.6153
2022-12-01,105.823
2023-01-01,103.6366
2023-02-01,104.092
2023-03-01,104.1338
2023-04-01,103.7002
2023-05-01,103.6486
2023-06-01,103.4917
2023-07-01,102.7977
2023-08-01,103.8119
