Provincia,Año,promedio total
Buenos Aires,2017,203.4735
Buenos Aires,2018,306.97552499999995
Buenos Aires,2019,461.1135
Buenos Aires,2020,540.237725
Buenos Aires,2021,508.62912500000004
Buenos Aires,2022,638.3779666666666
Capital Federal,2017,436.305
Capital Federal,2018,213.00347499999998
Capital Federal,2019,192.68895000000003
Capital Federal,2020,223.267675
Capital Federal,2021,270.66902500000003
Capital Federal,2022,290.1294666666667
Catamarca,2017,35.0235
Catamarca,2018,50.14877500000001
Catamarca,2019,147.762825
Catamarca,2020,227.68165
Catamarca,2021,293.316175
Catamarca,2022,285.0748
Chaco,2017,229.4951
Chaco,2018,234.45890000000003
Chaco,2019,232.23219999999998
Chaco,2020,359.236575
Chaco,2021,271.24649999999997
Chaco,2022,368.1113
Chubut,2017,76.87559999999999
Chubut,2018,157.80029999999996
Chubut,2019,251.73479999999998
Chubut,2020,335.82435
Chubut,2021,398.900975
Chubut,2022,255.86393333333334
Corrientes,2017,250.3131
Corrientes,2018,191.363025
Corrientes,2019,228.73507500000002
Corrientes,2020,243.54492499999998
Corrientes,2021,126.99922500000001
Corrientes,2022,115.1846
Córdoba,2017,112.3267
Córdoba,2018,112.91135
Córdoba,2019,140.755025
Córdoba,2020,141.90449999999998
Córdoba,2021,237.51940000000002
Córdoba,2022,198.70623333333333
Entre Ríos,2017,186.8842
Entre Ríos,2018,210.72067500000003
Entre Ríos,2019,124.4091
Entre Ríos,2020,149.83195
Entre Ríos,2021,95.590975
Entre Ríos,2022,156.1823
Formosa,2017,252.55149999999998
Formosa,2018,239.82925
Formosa,2019,230.27202499999999
Formosa,2020,302.77225
Formosa,2021,324.587175
Formosa,2022,297.02906666666667
Jujuy,2017,49.60940000000001
Jujuy,2018,99.02767500000002
Jujuy,2019,112.62647500000001
Jujuy,2020,163.46215
Jujuy,2021,167.525125
Jujuy,2022,225.52470000000002
La Pampa,2017,174.9413
La Pampa,2018,299.350875
La Pampa,2019,333.43100000000004
La Pampa,2020,165.732075
La Pampa,2021,147.846975
La Pampa,2022,98.74736666666668
La Rioja,2017,8.9158
La Rioja,2018,57.3852
La Rioja,2019,129.175875
La Rioja,2020,140.47055
La Rioja,2021,211.798225
La Rioja,2022,346.4602333333334
Mendoza,2017,129.4033
Mendoza,2018,188.211725
Mendoza,2019,325.10855
Mendoza,2020,262.71405000000004
Mendoza,2021,175.98172499999998
Mendoza,2022,199.8079
Misiones,2017,160.1145
Misiones,2018,140.44865
Misiones,2019,122.7425
Misiones,2020,164.971475
Misiones,2021,226.69729999999998
Misiones,2022,246.41583333333332
Neuquén,2017,257.47010000000006
Neuquén,2018,238.7317
Neuquén,2019,275.2376
Neuquén,2020,243.105775
Neuquén,2021,244.743475
Neuquén,2022,298.1528
Río Negro,2017,305.8481
Río Negro,2018,232.57779999999997
Río Negro,2019,176.5179
Río Negro,2020,178.58405
Río Negro,2021,172.961375
Río Negro,2022,242.31586666666666
Salta,2017,167.2098
Salta,2018,128.06795
Salta,2019,58.84649999999999
Salta,2020,209.99630000000002
Salta,2021,122.848175
Salta,2022,152.26076666666668
San Juan,2017,15.252800000000002
San Juan,2018,78.2835
San Juan,2019,215.471025
San Juan,2020,230.00955
San Juan,2021,283.57872499999996
San Juan,2022,420.38050000000004
San Luis,2017,19.671799999999998
San Luis,2018,77.5178
San Luis,2019,237.372975
San Luis,2020,270.025725
San Luis,2021,301.45107499999995
San Luis,2022,193.97310000000002
Santa Cruz,2017,107.69299999999998
Santa Cruz,2018,133.692925
Santa Cruz,2019,217.484425
Santa Cruz,2020,212.7672
Santa Cruz,2021,471.58785
Santa Cruz,2022,437.2135
Santa Fe,2017,120.4286
Santa Fe,2018,211.504625
Santa Fe,2019,265.50469999999996
Santa Fe,2020,273.49427499999996
Santa Fe,2021,306.25357499999996
Santa Fe,2022,291.3031333333333
Santiago Del Estero,2017,109.48150000000003
Santiago Del Estero,2018,253.75392499999998
Santiago Del Estero,2019,287.334875
Santiago Del Estero,2020,459.4630000000001
Santiago Del Estero,2021,476.10055
Santiago Del Estero,2022,494.7781333333333
Tierra Del Fuego,2017,35.4329
Tierra Del Fuego,2018,60.267450000000004
Tierra Del Fuego,2019,172.91219999999998
Tierra Del Fuego,2020,252.30252499999997
Tierra Del Fuego,2021,292.874575
Tierra Del Fuego,2022,270.63646666666665
Tucumán,2017,50.7531
Tucumán,2018,165.94975
Tucumán,2019,177.101225
Tucumán,2020,147.19547500000002
Tucumán,2021,185.917375
Tucumán,2022,166.72463333333334
